time,x,y,z,gforce
0.619,-0.188,0.418,0.789,0.913
0.621,-0.195,0.420,0.775,0.903
0.623,-0.193,0.417,0.762,0.889
0.625,-0.187,0.412,0.743,0.870
0.628,-0.185,0.408,0.734,0.860
0.630,-0.189,0.412,0.736,0.864
0.634,-0.186,0.412,0.749,0.875
0.635,-0.185,0.415,0.763,0.888
0.638,-0.171,0.423,0.780,0.903
0.640,-0.173,0.419,0.813,0.931
0.643,-0.152,0.428,0.828,0.944
0.645,-0.127,0.429,0.845,0.956
0.648,-0.099,0.423,0.869,0.972
0.652,-0.058,0.416,0.889,0.983
0.653,-0.031,0.420,0.912,1.005
0.655,-0.016,0.426,0.927,1.020
0.658,0.016,0.416,0.929,1.018
0.660,0.042,0.420,0.940,1.030
0.663,0.029,0.449,0.944,1.046
0.665,0.036,0.475,0.952,1.064
0.668,0.025,0.482,0.965,1.079
0.670,0.027,0.504,0.963,1.088
0.673,0.031,0.514,0.964,1.093
0.675,0.041,0.523,0.956,1.091
0.677,0.049,0.537,0.954,1.096
0.680,0.053,0.536,0.955,1.096
0.683,0.056,0.541,0.946,1.092
0.686,0.055,0.543,0.928,1.077
0.689,0.051,0.543,0.926,1.075
0.690,0.054,0.550,0.909,1.064
0.692,0.058,0.544,0.910,1.062
0.695,0.056,0.548,0.904,1.059
0.698,0.047,0.548,0.895,1.050
0.701,0.033,0.540,0.879,1.032
0.703,0.019,0.543,0.875,1.030
0.705,0.001,0.539,0.865,1.019
0.708,-0.015,0.528,0.855,1.005
0.710,-0.031,0.517,0.848,0.994
0.712,-0.051,0.513,0.827,0.974
0.715,-0.072,0.499,0.813,0.957
0.718,-0.087,0.496,0.797,0.943
0.720,-0.099,0.486,0.788,0.931
0.722,-0.117,0.476,0.779,0.920
0.725,-0.133,0.461,0.767,0.904
0.727,-0.153,0.456,0.755,0.895
0.730,-0.163,0.431,0.750,0.880
0.732,-0.178,0.427,0.748,0.880
0.735,-0.195,0.423,0.753,0.886
0.737,-0.208,0.414,0.745,0.878
0.740,-0.211,0.415,0.755,0.887
0.742,-0.217,0.420,0.765,0.899
0.749,-0.218,0.409,0.776,0.904
0.749,-0.215,0.411,0.789,0.915
0.750,-0.212,0.408,0.793,0.917
0.752,-0.205,0.414,0.805,0.928
0.755,-0.185,0.402,0.813,0.925
0.757,-0.168,0.405,0.825,0.934
0.760,-0.152,0.406,0.832,0.938
0.762,-0.131,0.411,0.842,0.947
0.764,-0.119,0.411,0.853,0.955
0.768,-0.115,0.417,0.859,0.962
0.769,-0.077,0.416,0.875,0.971
0.772,-0.067,0.420,0.885,0.982
0.775,-0.071,0.430,0.898,0.998
0.777,-0.047,0.436,0.936,1.034
0.780,-0.021,0.453,0.948,1.051
0.782,0.000,0.446,0.963,1.061
0.786,0.012,0.444,0.977,1.073
0.789,0.033,0.448,1.013,1.108
0.790,0.052,0.456,1.026,1.124
0.792,0.063,0.459,1.053,1.151
0.795,0.069,0.459,1.067,1.163
0.797,0.084,0.461,1.090,1.186
0.799,0.089,0.460,1.101,1.197
0.802,0.102,0.464,1.132,1.228
0.804,0.105,0.464,1.134,1.230
0.807,0.102,0.471,1.143,1.240
0.809,0.110,0.464,1.158,1.252
0.812,0.099,0.471,1.161,1.257
0.814,0.096,0.468,1.152,1.247
0.817,0.084,0.467,1.157,1.251
0.820,0.077,0.461,1.147,1.239
0.822,0.061,0.456,1.126,1.216
0.825,0.052,0.451,1.118,1.207
0.827,0.038,0.443,1.101,1.188
0.829,0.024,0.430,1.083,1.165
0.832,0.012,0.419,1.069,1.148
0.835,-0.012,0.414,1.057,1.136
0.837,-0.031,0.411,1.034,1.114
0.839,-0.052,0.403,1.013,1.092
0.842,-0.077,0.410,0.999,1.083
0.845,-0.102,0.407,0.986,1.072
0.847,-0.118,0.409,0.968,1.058
0.849,-0.142,0.404,0.954,1.046
0.852,-0.153,0.410,0.934,1.032
0.854,-0.167,0.406,0.923,1.022
0.857,-0.175,0.401,0.896,0.997
0.860,-0.180,0.406,0.889,0.993
0.861,-0.183,0.397,0.862,0.967
0.864,-0.189,0.404,0.849,0.959
0.866,-0.178,0.400,0.838,0.945
0.869,-0.188,0.402,0.827,0.939
0.871,-0.177,0.404,0.815,0.927
0.874,-0.167,0.392,0.808,0.913
0.877,-0.165,0.396,0.797,0.905
0.879,-0.154,0.395,0.779,0.887
0.881,-0.141,0.393,0.787,0.891
0.884,-0.136,0.401,0.776,0.884
0.886,-0.119,0.405,0.762,0.871
0.888,-0.111,0.401,0.757,0.864
0.891,-0.103,0.399,0.768,0.872
0.893,-0.095,0.404,0.779,0.883
0.896,-0.082,0.414,0.775,0.883
0.899,-0.087,0.412,0.791,0.897
0.904,-0.108,0.425,0.809,0.920
0.904,-0.134,0.427,0.855,0.965
0.906,-0.143,0.440,0.903,1.014
0.909,-0.136,0.432,0.929,1.033
0.911,-0.085,0.435,0.929,1.029
0.913,0.057,0.408,0.965,1.049
0.916,0.168,0.397,1.010,1.098
0.918,0.248,0.377,1.037,1.131
0.921,0.291,0.353,1.046,1.141
0.923,0.296,0.337,1.012,1.107
0.926,0.254,0.322,0.961,1.045
0.928,0.179,0.319,0.909,0.980
0.931,0.089,0.327,0.864,0.928
0.933,0.013,0.335,0.841,0.906
0.936,-0.051,0.348,0.818,0.890
0.938,-0.066,0.368,0.810,0.892
0.941,-0.078,0.371,0.818,0.902
0.943,-0.099,0.366,0.832,0.915
0.946,-0.118,0.355,0.851,0.930
0.948,-0.136,0.347,0.885,0.960
0.950,-0.143,0.337,0.926,0.996
0.953,-0.152,0.314,0.950,1.012
0.956,-0.145,0.314,0.962,1.022
0.958,-0.138,0.305,0.982,1.037
0.960,-0.125,0.297,0.974,1.026
0.963,-0.124,0.277,0.987,1.033
0.965,-0.122,0.275,0.981,1.026
0.969,-0.115,0.273,0.977,1.021
0.970,-0.121,0.261,0.968,1.010
0.973,-0.127,0.261,0.965,1.008
0.975,-0.134,0.250,0.963,1.004
0.978,-0.159,0.255,1.008,1.052
0.980,-0.224,0.247,1.146,1.194
0.983,-0.254,0.248,1.212,1.263
0.985,-0.252,0.256,1.243,1.293
0.988,-0.216,0.260,1.219,1.265
0.990,-0.192,0.265,1.189,1.233
0.996,-0.160,0.277,1.161,1.204
0.996,-0.151,0.287,1.110,1.156
0.998,-0.154,0.290,1.094,1.142
1.000,-0.158,0.296,1.072,1.123
1.003,-0.179,0.306,1.063,1.121
1.005,-0.194,0.317,1.063,1.126
1.008,-0.202,0.317,1.047,1.112
1.010,-0.201,0.326,1.034,1.103
1.013,-0.202,0.322,1.018,1.087
1.015,-0.194,0.328,1.010,1.080
1.019,-0.175,0.327,1.000,1.066
1.020,-0.165,0.316,0.981,1.044
1.023,-0.154,0.307,0.963,1.022
1.025,-0.148,0.303,0.943,1.002
1.028,-0.138,0.288,0.934,0.987
1.030,-0.136,0.292,0.935,0.989
1.033,-0.146,0.298,0.933,0.990
1.036,-0.148,0.294,0.921,0.978
1.037,-0.154,0.299,0.913,0.972
1.040,-0.149,0.297,0.935,0.992
1.043,-0.143,0.309,0.942,1.002
1.045,-0.153,0.298,0.947,1.005
1.047,-0.153,0.301,0.942,1.001
1.050,-0.156,0.305,0.935,0.995
1.052,-0.151,0.303,0.932,0.992
1.055,-0.150,0.304,0.935,0.994
1.057,-0.145,0.289,0.931,0.985
1.060,-0.139,0.295,0.916,0.972
1.062,-0.142,0.304,0.905,0.965
1.065,-0.133,0.304,0.888,0.948
1.067,-0.145,0.299,0.874,0.934
1.071,-0.148,0.301,0.865,0.928
1.073,-0.151,0.296,0.861,0.923
1.075,-0.158,0.297,0.853,0.916
1.077,-0.164,0.286,0.849,0.911
1.080,-0.162,0.289,0.850,0.912
1.082,-0.169,0.293,0.858,0.922
1.084,-0.191,0.306,0.875,0.946
1.087,-0.207,0.315,0.890,0.967
1.090,-0.233,0.326,0.910,0.994
1.092,-0.233,0.319,0.939,1.019
1.095,-0.235,0.316,0.935,1.014
1.097,-0.226,0.313,0.960,1.034
1.099,-0.239,0.306,0.974,1.049
1.103,-0.241,0.304,0.981,1.055
1.104,-0.252,0.286,0.995,1.066
1.107,-0.266,0.291,1.000,1.075
1.109,-0.279,0.284,0.997,1.073
1.112,-0.298,0.293,1.006,1.089
1.114,-0.307,0.289,1.015,1.099
1.117,-0.306,0.296,1.013,1.099
1.119,-0.304,0.301,1.005,1.092
1.122,-0.306,0.312,1.009,1.100
1.124,-0.293,0.311,1.000,1.088
1.127,-0.280,0.322,1.009,1.095
1.129,-0.277,0.327,1.004,1.092
1.132,-0.253,0.329,1.005,1.087
1.134,-0.238,0.323,1.002,1.079
1.137,-0.231,0.326,0.996,1.073
1.139,-0.225,0.322,0.974,1.051
1.142,-0.219,0.319,0.975,1.049
1.144,-0.220,0.322,0.955,1.031
1.147,-0.225,0.327,0.947,1.027
1.149,-0.219,0.325,0.934,1.013
1.152,-0.217,0.323,0.928,1.006
1.154,-0.206,0.322,0.922,0.999
1.156,-0.197,0.324,0.922,0.998
1.159,-0.189,0.319,0.913,0.985
1.161,-0.171,0.319,0.915,0.984
1.164,-0.156,0.314,0.918,0.983
1.166,-0.148,0.313,0.912,0.976
1.169,-0.139,0.306,0.910,0.970
1.171,-0.131,0.289,0.919,0.972
1.174,-0.128,0.306,0.919,0.977
1.176,-0.132,0.296,0.924,0.979
1.179,-0.126,0.293,0.939,0.992
1.181,-0.117,0.287,0.941,0.991
1.184,-0.120,0.279,0.958,1.005
1.187,-0.122,0.272,0.960,1.005
1.189,-0.125,0.260,0.981,1.022
1.191,-0.153,0.252,0.998,1.041
1.194,-0.180,0.235,1.016,1.058
1.196,-0.186,0.224,1.027,1.067
1.199,-0.193,0.223,1.043,1.084
1.201,-0.204,0.215,1.068,1.109
1.204,-0.202,0.208,1.087,1.125
1.206,-0.208,0.204,1.101,1.139
1.209,-0.199,0.207,1.109,1.145
1.211,-0.198,0.203,1.100,1.136
1.214,-0.196,0.214,1.096,1.134
1.216,-0.192,0.214,1.096,1.133
1.219,-0.194,0.216,1.073,1.112
1.221,-0.187,0.224,1.053,1.093
1.224,-0.191,0.227,1.039,1.081
1.226,-0.171,0.219,1.028,1.065
1.228,-0.161,0.221,1.012,1.048
1.231,-0.164,0.221,1.000,1.037
1.233,-0.162,0.221,0.997,1.034
1.236,-0.169,0.223,0.981,1.020
1.239,-0.170,0.227,0.966,1.007
1.247,-0.172,0.234,0.956,0.999
1.247,-0.172,0.243,0.939,0.985
1.248,-0.166,0.255,0.925,0.974
1.248,-0.138,0.279,0.918,0.969
1.251,-0.108,0.299,0.915,0.969
1.254,-0.094,0.313,0.911,0.968
1.256,-0.091,0.313,0.905,0.962
1.258,-0.093,0.320,0.898,0.957
1.261,-0.104,0.310,0.893,0.951
1.263,-0.063,0.276,0.905,0.948
1.266,-0.059,0.275,0.898,0.941
1.268,-0.089,0.280,0.899,0.946
1.271,-0.095,0.282,0.899,0.948
1.273,-0.110,0.286,0.898,0.949
1.276,-0.116,0.285,0.915,0.966
1.278,-0.130,0.291,0.911,0.965
1.281,-0.138,0.288,0.931,0.984
1.283,-0.142,0.280,0.938,0.989
1.287,-0.152,0.267,0.944,0.993
1.288,-0.168,0.259,0.958,1.007
1.291,-0.169,0.244,0.981,1.025
1.293,-0.176,0.240,1.012,1.055
1.296,-0.178,0.228,1.024,1.064
1.298,-0.192,0.221,1.029,1.070
1.300,-0.199,0.216,1.045,1.085
1.304,-0.207,0.212,1.042,1.083
1.305,-0.210,0.205,1.062,1.102
1.308,-0.217,0.204,1.068,1.108
1.310,-0.223,0.194,1.069,1.109
1.313,-0.233,0.194,1.069,1.111
1.315,-0.248,0.188,1.082,1.126
1.318,-0.260,0.176,1.082,1.127
1.324,-0.271,0.175,1.099,1.145
1.325,-0.271,0.169,1.109,1.154
1.326,-0.271,0.163,1.123,1.167
1.328,-0.269,0.160,1.135,1.177
1.330,-0.261,0.151,1.115,1.155
1.333,-0.256,0.153,1.111,1.150
1.335,-0.261,0.152,1.122,1.162
1.338,-0.270,0.155,1.091,1.134
1.340,-0.285,0.154,1.061,1.109
1.343,-0.314,0.162,1.017,1.077
1.345,-0.317,0.175,0.987,1.051
1.348,-0.313,0.187,0.987,1.053
1.350,-0.303,0.199,0.989,1.053
1.355,-0.289,0.211,0.986,1.049
1.355,-0.269,0.208,0.984,1.041
1.358,-0.257,0.216,0.962,1.018
1.360,-0.265,0.233,0.875,0.943
1.363,-0.245,0.234,0.843,0.908
1.365,-0.210,0.258,0.872,0.933
1.367,-0.186,0.252,0.906,0.958
1.371,-0.177,0.262,0.906,0.959
1.372,-0.176,0.276,0.925,0.981
1.375,-0.187,0.280,0.916,0.976
1.378,-0.179,0.285,0.937,0.995
1.380,-0.177,0.286,0.923,0.982
1.383,-0.175,0.287,0.926,0.986
1.385,-0.169,0.286,0.945,1.002
1.388,-0.172,0.282,0.952,1.008
1.390,-0.162,0.291,0.957,1.013
1.392,-0.166,0.278,0.969,1.022
1.395,-0.159,0.276,0.985,1.035
1.397,-0.164,0.277,0.990,1.041
1.400,-0.178,0.274,1.000,1.052
1.402,-0.187,0.274,1.009,1.062
1.405,-0.189,0.270,1.021,1.073
1.407,-0.191,0.269,1.018,1.070
1.410,-0.205,0.265,1.012,1.066
1.412,-0.199,0.275,0.999,1.055
1.415,-0.195,0.274,0.992,1.047
1.417,-0.196,0.278,0.984,1.041
1.422,-0.194,0.274,0.987,1.043
1.423,-0.190,0.276,0.985,1.041
1.425,-0.189,0.268,0.979,1.033
1.427,-0.176,0.265,0.971,1.022
1.429,-0.167,0.269,0.968,1.019
1.432,-0.164,0.271,0.963,1.014
1.435,-0.163,0.270,0.965,1.016
1.439,-0.159,0.269,0.957,1.006
1.439,-0.159,0.269,0.960,1.010
1.442,-0.158,0.265,0.957,1.006
1.444,-0.166,0.277,0.950,1.003
1.447,-0.160,0.277,0.935,0.988
1.449,-0.158,0.280,0.926,0.981
1.452,-0.156,0.287,0.915,0.972
1.454,-0.150,0.293,0.901,0.959
1.457,-0.145,0.297,0.898,0.957
1.459,-0.150,0.303,0.893,0.955
1.462,-0.156,0.293,0.889,0.949
1.464,-0.154,0.287,0.898,0.956
1.467,-0.157,0.277,0.888,0.943
1.469,-0.153,0.274,0.893,0.947
1.472,-0.163,0.267,0.902,0.955
1.474,-0.163,0.268,0.911,0.963
1.477,-0.175,0.273,0.907,0.964
1.479,-0.186,0.271,0.925,0.981
1.482,-0.191,0.268,0.941,0.997
1.484,-0.204,0.263,0.956,1.012
1.489,-0.205,0.248,0.988,1.039
1.496,-0.050,0.220,1.343,1.362
1.496,-0.171,0.227,1.246,1.278
1.497,-0.199,0.234,1.121,1.163
1.497,-0.224,0.231,1.081,1.128
1.500,-0.233,0.223,1.081,1.128
1.502,-0.252,0.222,1.081,1.132
1.504,-0.268,0.211,1.068,1.121
1.507,-0.276,0.212,1.016,1.074
1.509,-0.268,0.201,1.017,1.070
1.512,-0.250,0.206,1.050,1.099
