time,x,y,z,gforce
1.293,0.400,0.320,0.660,0.835
1.294,0.396,0.314,0.674,0.843
1.297,0.393,0.321,0.695,0.860
1.299,0.387,0.316,0.709,0.868
1.302,0.380,0.306,0.715,0.866
1.305,0.373,0.299,0.724,0.868
1.307,0.385,0.301,0.737,0.884
1.309,0.388,0.291,0.740,0.885
1.312,0.401,0.287,0.729,0.880
1.314,0.396,0.295,0.721,0.874
1.317,0.397,0.296,0.710,0.866
1.322,0.381,0.303,0.694,0.848
1.323,0.368,0.306,0.685,0.835
1.324,0.348,0.301,0.686,0.826
1.326,0.334,0.313,0.667,0.809
1.329,0.321,0.311,0.652,0.790
1.331,0.309,0.312,0.628,0.767
1.334,0.309,0.307,0.630,0.766
1.339,0.309,0.302,0.604,0.743
1.346,0.303,0.304,0.596,0.735
1.346,0.218,0.293,0.587,0.691
1.346,0.282,0.293,0.593,0.719
1.346,0.322,0.285,0.601,0.739
1.349,0.361,0.278,0.576,0.735
1.351,0.405,0.277,0.536,0.726
1.356,0.435,0.274,0.510,0.724
1.357,0.454,0.280,0.496,0.729
1.359,0.470,0.275,0.506,0.743
1.361,0.481,0.270,0.528,0.764
1.364,0.493,0.271,0.531,0.774
1.367,0.493,0.257,0.551,0.783
1.369,0.494,0.264,0.561,0.793
1.375,0.494,0.249,0.574,0.797
1.376,0.487,0.248,0.605,0.815
1.376,0.477,0.240,0.610,0.811
1.380,0.486,0.250,0.617,0.824
1.381,0.484,0.227,0.627,0.824
1.383,0.488,0.229,0.624,0.825
1.387,0.484,0.236,0.622,0.823
1.388,0.476,0.235,0.600,0.801
1.394,0.458,0.244,0.605,0.797
1.394,0.440,0.260,0.629,0.811
1.396,0.421,0.263,0.642,0.812
1.398,0.415,0.272,0.650,0.818
1.401,0.404,0.273,0.675,0.832
1.406,0.392,0.286,0.695,0.847
1.407,0.402,0.294,0.699,0.858
1.408,0.402,0.298,0.721,0.878
1.411,0.394,0.306,0.735,0.888
1.417,0.388,0.320,0.748,0.901
1.417,0.394,0.316,0.762,0.914
1.418,0.391,0.329,0.782,0.934
1.421,0.387,0.335,0.786,0.938
1.423,0.384,0.339,0.795,0.946
1.427,0.376,0.339,0.806,0.951
1.428,0.375,0.351,0.806,0.956
1.431,0.375,0.356,0.805,0.957
1.433,0.376,0.360,0.806,0.959
1.436,0.383,0.359,0.801,0.958
1.438,0.381,0.359,0.798,0.954
1.440,0.386,0.361,0.799,0.958
1.443,0.394,0.353,0.800,0.959
1.445,0.398,0.354,0.793,0.956
1.448,0.405,0.355,0.794,0.960
1.450,0.415,0.361,0.785,0.958
1.453,0.415,0.355,0.780,0.953
1.456,0.417,0.348,0.778,0.949
1.460,0.414,0.359,0.769,0.944
1.460,0.409,0.361,0.760,0.936
1.463,0.406,0.368,0.744,0.924
1.465,0.408,0.370,0.747,0.928
1.468,0.410,0.372,0.743,0.926
1.472,0.418,0.373,0.737,0.926
1.473,0.425,0.368,0.723,0.916
1.475,0.424,0.373,0.717,0.912
1.478,0.420,0.371,0.713,0.907
1.480,0.422,0.375,0.695,0.895
1.482,0.410,0.371,0.690,0.884
1.485,0.406,0.379,0.688,0.884
1.488,0.400,0.376,0.683,0.876
1.490,0.398,0.367,0.691,0.878
1.493,0.386,0.370,0.683,0.868
1.495,0.387,0.372,0.684,0.870
1.497,0.386,0.365,0.693,0.873
1.500,0.386,0.367,0.691,0.873
1.502,0.379,0.365,0.708,0.882
1.506,0.387,0.371,0.702,0.883
1.510,0.352,0.367,0.717,0.879
1.510,0.364,0.375,0.729,0.897
1.512,0.372,0.373,0.740,0.908
1.515,0.390,0.370,0.742,0.917
1.517,0.403,0.368,0.749,0.927
1.521,0.406,0.375,0.754,0.935
1.522,0.419,0.381,0.751,0.941
1.525,0.420,0.386,0.754,0.945
1.527,0.425,0.389,0.773,0.964
1.530,0.418,0.394,0.785,0.972
1.532,0.420,0.397,0.792,0.981
1.534,0.420,0.406,0.792,0.984
1.538,0.412,0.408,0.801,0.989
1.540,0.409,0.415,0.810,0.998
1.542,0.403,0.418,0.809,0.995
1.545,0.400,0.419,0.804,0.991
1.547,0.406,0.416,0.808,0.996
1.550,0.401,0.420,0.807,0.994
1.552,0.403,0.420,0.804,0.993
1.555,0.399,0.421,0.809,0.996
1.557,0.400,0.420,0.799,0.987
1.560,0.400,0.419,0.798,0.986
1.562,0.394,0.420,0.803,0.988
1.564,0.399,0.414,0.793,0.980
1.567,0.394,0.413,0.782,0.968
1.569,0.399,0.411,0.781,0.968
1.572,0.398,0.403,0.781,0.964
1.574,0.389,0.401,0.779,0.959
1.577,0.384,0.386,0.782,0.953
1.579,0.384,0.388,0.768,0.942
1.582,0.375,0.383,0.766,0.935
1.584,0.380,0.381,0.756,0.928
1.587,0.372,0.384,0.753,0.924
1.590,0.375,0.386,0.749,0.923
1.593,0.384,0.381,0.754,0.928
1.594,0.385,0.382,0.760,0.934
1.597,0.387,0.382,0.757,0.932
1.599,0.404,0.389,0.773,0.955
1.602,0.397,0.379,0.762,0.939
1.605,0.401,0.392,0.767,0.950
1.606,0.398,0.395,0.775,0.957
1.609,0.401,0.401,0.775,0.961
1.612,0.402,0.407,0.775,0.964
1.614,0.400,0.416,0.772,0.964
1.616,0.398,0.416,0.787,0.975
1.619,0.393,0.420,0.801,0.986
1.622,0.397,0.415,0.815,0.997
1.624,0.404,0.417,0.838,1.020
1.627,0.416,0.424,0.855,1.041
1.629,0.424,0.419,0.873,1.057
1.631,0.437,0.416,0.888,1.074
1.634,0.453,0.423,0.910,1.101
1.636,0.480,0.411,0.942,1.135
1.639,0.536,0.439,0.998,1.215
1.642,0.607,0.462,1.138,1.370
1.644,0.589,0.446,1.205,1.413
1.646,0.588,0.429,1.169,1.377
1.649,0.592,0.408,1.117,1.329
1.651,0.560,0.381,1.076,1.271
1.655,0.543,0.371,1.036,1.227
1.656,0.525,0.365,1.028,1.210
1.659,0.491,0.359,1.057,1.219
1.667,0.458,0.367,1.068,1.219
1.667,0.446,0.372,1.086,1.232
1.668,0.445,0.381,1.095,1.242
1.668,0.456,0.396,1.113,1.266
1.672,0.470,0.412,1.130,1.291
1.673,0.491,0.411,1.147,1.314
1.676,0.511,0.422,1.159,1.336
1.678,0.534,0.422,1.189,1.370
1.681,0.562,0.410,1.203,1.390
1.683,0.569,0.406,1.230,1.414
1.686,0.570,0.400,1.240,1.422
1.691,0.568,0.395,1.254,1.432
1.691,0.558,0.390,1.272,1.443
1.693,0.531,0.383,1.272,1.431
1.696,0.519,0.382,1.264,1.418
1.698,0.493,0.387,1.251,1.400
1.701,0.473,0.392,1.249,1.392
1.703,0.455,0.394,1.230,1.370
1.708,0.437,0.407,1.219,1.357
