time,x,y,z,gforce
0.827,0.094,0.487,0.652,0.819
0.830,0.095,0.485,0.619,0.792
0.832,0.103,0.470,0.608,0.775
0.836,0.097,0.468,0.587,0.757
0.837,0.098,0.463,0.568,0.739
0.839,0.096,0.465,0.554,0.729
0.842,0.091,0.459,0.543,0.717
0.844,0.093,0.455,0.540,0.712
0.847,0.090,0.452,0.538,0.708
0.849,0.084,0.455,0.535,0.707
0.851,0.081,0.462,0.544,0.718
0.854,0.080,0.471,0.544,0.723
0.856,0.071,0.478,0.542,0.726
0.859,0.068,0.480,0.554,0.737
0.862,0.060,0.490,0.560,0.746
0.864,0.045,0.488,0.570,0.752
0.867,0.038,0.497,0.571,0.758
0.869,0.027,0.504,0.586,0.773
0.872,0.015,0.511,0.591,0.781
0.874,-0.000,0.510,0.598,0.786
0.876,-0.020,0.526,0.621,0.814
0.879,-0.025,0.538,0.636,0.833
0.881,-0.041,0.547,0.643,0.846
0.884,-0.044,0.562,0.666,0.872
0.886,-0.052,0.571,0.673,0.884
0.889,-0.052,0.567,0.678,0.885
0.891,-0.049,0.579,0.693,0.904
0.894,-0.044,0.581,0.696,0.907
0.901,-0.030,0.581,0.704,0.913
0.902,-0.020,0.588,0.707,0.920
0.902,-0.002,0.591,0.703,0.919
0.904,0.022,0.590,0.685,0.904
0.906,0.048,0.580,0.681,0.895
0.908,0.060,0.581,0.675,0.892
0.911,0.057,0.585,0.653,0.879
0.919,0.055,0.582,0.642,0.869
0.919,0.055,0.574,0.634,0.856
0.920,0.047,0.569,0.613,0.838
0.921,0.042,0.568,0.595,0.824
0.923,0.038,0.567,0.580,0.812
0.926,0.042,0.559,0.561,0.793
0.928,0.041,0.565,0.548,0.788
0.931,0.041,0.554,0.527,0.766
0.933,0.045,0.560,0.509,0.758
0.936,0.045,0.553,0.496,0.744
0.938,0.041,0.543,0.482,0.727
0.940,0.042,0.542,0.477,0.724
0.943,0.040,0.541,0.476,0.721
0.945,0.042,0.536,0.467,0.712
0.948,0.039,0.540,0.483,0.726
0.950,0.045,0.530,0.481,0.717
0.953,0.045,0.535,0.491,0.727
0.955,0.043,0.537,0.504,0.737
0.958,0.050,0.539,0.519,0.750
0.960,0.064,0.539,0.534,0.762
0.963,0.072,0.539,0.558,0.779
0.965,0.074,0.552,0.573,0.799
0.968,0.074,0.563,0.588,0.817
0.970,0.070,0.568,0.607,0.834
0.973,0.066,0.576,0.627,0.854
0.975,0.054,0.586,0.649,0.876
0.978,0.043,0.599,0.666,0.897
0.981,0.036,0.610,0.679,0.914
0.983,0.025,0.615,0.683,0.920
0.985,0.020,0.637,0.689,0.939
0.991,0.011,0.638,0.702,0.949
0.991,0.003,0.648,0.706,0.959
0.992,-0.004,0.656,0.712,0.968
0.995,-0.017,0.657,0.712,0.969
1.000,-0.022,0.664,0.706,0.969
1.000,-0.033,0.661,0.702,0.964
1.003,-0.033,0.662,0.696,0.961
1.005,-0.042,0.659,0.695,0.959
1.008,-0.041,0.656,0.687,0.951
1.010,-0.051,0.660,0.677,0.947
1.012,-0.042,0.660,0.661,0.935
1.015,-0.045,0.659,0.661,0.934
1.017,-0.040,0.664,0.649,0.929
1.020,-0.040,0.666,0.644,0.927
1.022,-0.040,0.657,0.644,0.921
1.025,-0.043,0.659,0.631,0.913
1.027,-0.056,0.656,0.633,0.914
